zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
Ba,Si,88,49,27,12,31,134,57,9,22,33,0,4,0,1,14,32,6,134,2,11,1,29,15,134,4,0,7,0,0,0
Ba,Pb,2,1,2,0,3,4,0,0,1,2,1,1,0,0,1,0,0,2,4,1,1,1,1,3,1,0,0,0,0,0
Ba,REE,11,16,3,0,8,25,8,0,1,4,0,0,0,0,4,0,12,11,1,25,1,15,2,25,1,0,3,0,0,0
Ba,U,14,3,1,0,4,14,0,1,0,0,0,0,0,0,0,0,1,1,1,1,14,0,0,14,0,1,3,2,0,0
Ba,F,21,26,8,6,19,48,20,2,12,10,0,0,0,0,5,6,11,29,1,15,0,48,5,44,1,0,10,0,0,0
Ba,Cl,13,3,1,2,5,20,7,1,6,7,0,0,0,0,3,3,3,15,1,2,0,5,20,19,1,0,2,1,0,0
Ba,O,141,69,33,24,55,230,68,20,31,52,0,5,0,1,14,49,29,134,3,25,14,44,19,230,8,1,37,9,0,0
Ba,S,5,2,0,0,3,9,1,0,0,2,1,1,0,0,0,3,1,4,1,1,0,1,1,8,9,0,0,1,0,0
Ba,Se,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Ba,P,26,12,0,3,8,37,6,3,4,7,0,0,0,0,1,10,2,7,0,3,3,10,2,37,0,0,37,0,0,0
Ba,As,8,0,0,0,1,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,1,9,1,0,0,9,0,0
Ba,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,H,192,103,57,17,52,43,192,12,45,72,0,2,0,15,6,19,2,135,4,44,13,40,9,192,1,0,11,6,3,0
Ti,Na,103,157,47,15,52,37,157,1,40,46,0,1,0,5,3,6,4,141,3,26,2,55,6,157,1,0,11,2,2,0
Ti,K,57,47,75,9,20,18,75,1,18,23,0,0,0,3,1,6,0,64,1,1,0,12,3,75,1,0,3,2,0,0
Ti,Mg,17,15,9,48,13,10,48,0,4,31,0,0,0,3,3,21,0,24,0,6,0,5,2,48,0,0,2,0,0,0
Ti,Ca,52,52,20,13,105,10,105,1,25,35,0,0,0,0,4,15,0,71,0,28,6,32,6,105,1,0,5,3,2,0
Ti,Ba,43,37,18,10,10,68,68,3,13,25,0,0,0,1,6,4,1,57,0,8,0,20,7,68,1,0,6,0,0,0
Ti,Ti,192,157,75,48,105,68,352,19,64,137,0,2,0,16,11,40,6,216,10,73,19,65,12,345,4,0,18,11,4,0
Ti,V,12,1,1,0,1,3,19,19,4,10,0,0,0,1,1,1,1,2,2,5,5,2,1,18,0,0,0,2,0,0
Ti,Mn,45,40,18,4,25,13,64,4,64,28,0,0,0,3,1,2,0,46,6,12,4,22,6,64,0,0,3,1,1,0
Ti,Fe,72,46,23,31,35,25,137,10,28,137,0,0,0,8,5,22,2,68,8,35,11,24,7,133,2,0,4,6,2,0
Ti,Ni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,Cu,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0
Ti,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,Zn,15,5,3,3,0,1,16,1,3,8,0,0,0,16,0,4,0,7,3,4,1,3,0,16,0,0,0,0,0,0
Ti,B,6,3,1,3,4,6,11,1,1,5,0,0,0,0,11,2,0,9,0,3,0,3,3,11,0,0,2,0,0,0
Ti,Al,19,6,6,21,15,4,40,1,2,22,0,0,0,4,2,40,0,23,0,7,0,3,1,40,0,0,2,2,0,0
Ti,C,2,4,0,0,0,1,6,1,0,2,0,0,0,0,0,0,6,4,0,3,0,1,0,5,0,0,0,0,0,0
Ti,Si,135,141,64,24,71,57,216,2,46,68,0,1,0,7,9,23,4,216,0,38,0,57,12,215,1,0,13,2,0,0
Ti,Pb,4,3,1,0,0,0,10,2,6,8,0,0,0,3,0,0,0,0,10,6,4,1,0,10,0,0,0,1,0,0
Ti,REE,44,26,1,6,28,8,73,5,12,35,0,0,0,4,3,7,3,38,6,73,13,16,1,73,0,0,3,2,0,0
Ti,U,13,2,0,0,6,0,19,5,4,11,0,0,0,1,0,0,0,0,4,13,19,2,0,19,0,0,0,1,0,0
Ti,F,40,55,12,5,32,20,65,2,22,24,0,0,0,3,3,3,1,57,1,16,2,65,2,65,0,0,11,0,0,0
Ti,Cl,9,6,3,2,6,7,12,1,6,7,0,0,0,0,3,1,0,12,0,1,0,2,12,12,0,0,0,0,0,0
Ti,O,192,157,75,48,105,68,345,18,64,133,0,2,0,16,11,40,5,215,10,73,19,65,12,345,2,0,17,11,4,0
Ti,S,1,1,1,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0
Ti,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,P,11,11,3,2,5,6,18,0,3,4,0,0,0,0,2,2,0,13,0,3,0,11,0,17,0,0,18,0,0,0
Ti,As,6,2,2,0,3,0,11,2,1,6,0,1,0,0,0,2,0,2,1,2,1,0,0,11,0,0,0,11,1,0
Ti,Sb,3,2,0,0,2,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0
Ti,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,H,153,22,9,14,41,13,12,153,22,27,3,10,0,6,4,30,1,24,14,7,19,5,2,153,9,0,11,6,0,4
V,Na,22,29,4,6,9,0,1,29,5,4,0,1,0,0,3,3,0,7,0,0,1,0,0,29,0,0,0,1,0,0
V,K,9,4,15,2,3,1,1,15,2,2,0,2,0,0,0,1,0,3,0,0,2,0,1,14,2,0,0,0,0,0
V,Mg,14,6,2,17,5,0,0,17,1,2,0,0,0,0,3,5,0,5,0,0,0,0,0,17,1,0,0,0,0,0
V,Ca,41,9,3,5,50,3,1,50,2,8,0,1,0,0,0,7,1,12,0,1,3,2,0,50,0,0,2,4,0,0
V,Ba,13,0,1,0,3,20,3,20,2,2,0,1,0,0,1,2,1,9,0,0,1,2,1,20,0,0,3,0,0,0
V,Ti,12,1,1,0,1,3,19,19,4,10,0,0,0,1,1,1,1,2,2,5,5,2,1,18,0,0,0,2,0,0
V,V,153,29,15,17,50,20,19,226,28,36,3,28,1,7,4,33,2,38,22,11,19,6,8,217,17,0,11,9,2,7
V,Mn,22,5,2,1,2,2,4,28,28,5,0,0,0,1,0,3,0,10,5,4,4,0,0,28,0,0,1,0,0,0
V,Fe,27,4,2,2,8,2,10,36,5,36,0,3,0,1,0,6,1,4,7,6,5,2,0,35,0,0,1,1,0,0
V,Ni,3,0,0,0,0,0,0,3,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
V,Cu,10,1,2,0,1,1,0,28,0,3,0,28,0,0,0,3,0,0,2,0,1,2,4,23,5,0,2,2,1,1
V,Ag,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
V,Zn,6,0,0,0,0,0,1,7,1,1,2,0,0,7,0,2,0,1,3,1,1,0,0,7,0,0,0,0,0,0
V,B,4,3,0,3,0,1,1,4,0,0,0,0,0,0,4,1,0,4,0,0,0,0,1,4,0,0,0,0,0,0
V,Al,30,3,1,5,7,2,1,33,3,6,2,3,0,2,1,33,1,12,1,2,2,3,0,33,1,0,4,1,0,0
V,C,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0
V,Si,24,7,3,5,12,9,2,38,10,4,0,0,0,1,4,12,1,38,1,2,0,2,2,38,0,0,0,1,0,0
V,Pb,14,0,0,0,0,0,2,22,5,7,0,2,0,3,0,1,0,1,22,1,2,0,4,22,0,0,2,1,0,1
V,REE,7,0,0,0,1,0,5,11,4,6,0,0,0,1,0,2,0,2,1,11,5,2,0,11,0,0,0,0,0,0
V,U,19,1,2,0,3,1,5,19,4,5,0,1,0,1,0,2,0,0,2,5,19,2,0,19,1,0,1,0,0,0
V,F,5,0,0,0,2,2,2,6,0,2,0,2,0,0,0,3,1,2,0,2,2,6,0,6,0,0,2,0,0,0
V,Cl,2,0,1,0,0,1,1,8,0,0,0,4,0,0,1,0,0,2,4,0,0,0,8,8,0,0,0,1,0,0
V,O,153,29,14,17,50,20,18,217,28,35,3,23,1,7,4,33,1,38,22,11,19,6,8,217,10,0,11,7,1,7
V,S,9,0,2,1,0,0,0,17,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,10,17,0,0,2,1,0
V,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,P,11,0,0,0,2,3,0,11,1,1,0,2,0,0,0,4,0,0,2,0,1,2,0,11,0,0,11,0,0,0
V,As,6,1,0,0,4,0,2,9,0,1,0,2,0,0,0,1,0,1,1,0,0,0,1,7,2,0,0,9,1,0
V,Sb,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0
V,Bi,4,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,7
Mn,H,376,95,43,42,118,26,45,22,376,94,3,5,1,25,13,68,15,188,18,29,5,32,27,376,17,0,77,50,1,0
Mn,Na,95,143,36,16,62,14,40,5,143,42,0,0,0,3,6,21,9,94,3,19,1,32,14,142,5,0,29,8,1,0
Mn,K,43,36,56,10,17,8,18,2,56,14,0,0,0,4,1,13,0,45,0,1,0,12,3,54,1,0,5,0,0,0
Mn,Mg,42,16,10,63,18,2,4,1,63,28,2,0,0,9,5,22,2,30,3,1,0,3,3,63,1,0,16,8,3,0
Mn,Ca,118,62,17,18,154,10,25,2,154,52,1,0,1,5,6,27,8,86,4,16,0,20,14,154,3,0,35,13,2,0
Mn,Ba,26,14,8,2,10,31,13,2,31,8,0,0,0,0,1,3,0,22,1,1,0,12,6,31,0,0,4,0,0,0
Mn,Ti,45,40,18,4,25,13,64,4,64,28,0,0,0,3,1,2,0,46,6,12,4,22,6,64,0,0,3,1,1,0
Mn,V,22,5,2,1,2,2,4,28,28,5,0,0,0,1,0,3,0,10,5,4,4,0,0,28,0,0,1,0,0,0
Mn,Mn,376,143,56,63,154,31,64,28,549,139,3,8,6,33,24,84,22,246,34,40,6,42,34,531,35,0,108,57,18,1
Mn,Fe,94,42,14,28,52,8,28,5,139,139,1,2,0,14,2,22,0,55,11,21,4,14,9,138,1,0,54,7,4,0
Mn,Ni,3,0,0,2,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Mn,Cu,5,0,0,0,0,0,0,0,8,2,0,8,0,0,0,0,0,3,0,1,0,0,2,8,1,0,0,2,0,0
Mn,Ag,1,0,0,0,1,0,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,5,0,0,2,3,0
Mn,Zn,25,3,4,9,5,0,3,1,33,14,0,0,0,33,0,4,0,15,4,3,1,1,0,32,2,0,5,6,1,0
Mn,B,13,6,1,5,6,1,1,0,24,2,0,0,0,0,24,3,1,11,1,2,0,3,4,24,0,0,2,0,2,0
Mn,Al,68,21,13,22,27,3,2,3,84,22,0,0,0,4,3,84,2,52,2,9,0,7,0,84,4,0,26,4,1,0
Mn,C,15,9,0,2,8,0,0,0,22,0,0,0,0,0,1,2,22,3,2,4,0,2,3,22,5,0,2,2,0,0
Mn,Si,188,94,45,30,86,22,46,10,246,55,0,3,0,15,11,52,3,246,6,28,0,34,20,244,2,0,8,13,5,0
Mn,Pb,18,3,0,3,4,1,6,5,34,11,0,0,2,4,1,2,2,6,34,5,2,1,3,31,6,0,0,5,3,0
Mn,REE,29,19,1,1,16,1,12,4,40,21,0,1,0,3,2,9,4,28,5,40,4,8,6,40,1,0,2,3,0,0
Mn,U,5,1,0,0,0,0,4,4,6,4,0,0,0,1,0,0,0,0,2,4,6,0,0,6,0,0,2,0,0,0
Mn,F,32,32,12,3,20,12,22,0,42,14,0,0,0,1,3,7,2,34,1,8,0,42,4,42,1,0,7,0,0,0
Mn,Cl,27,14,3,3,14,6,6,0,34,9,0,2,0,0,4,0,3,20,3,6,0,4,34,31,3,0,1,1,0,0
Mn,O,376,142,54,63,154,31,64,28,531,138,3,8,1,32,24,84,22,244,31,40,6,42,31,531,22,0,108,55,13,0
Mn,S,17,5,1,1,3,0,0,0,35,1,0,1,5,2,0,4,5,2,6,1,0,1,3,22,35,0,0,2,5,1
Mn,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mn,P,77,29,5,16,35,4,3,1,108,54,0,0,0,5,2,26,2,8,0,2,2,7,1,108,0,0,108,0,0,0
Mn,As,50,8,0,8,13,0,1,0,57,7,0,2,2,6,0,4,2,13,5,3,0,0,1,55,2,0,0,57,3,0
Mn,Sb,1,1,0,3,2,0,1,0,18,4,0,0,3,1,2,1,0,5,3,0,0,0,0,13,5,0,0,3,18,0
Mn,Bi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fe,H,657,149,78,114,173,37,72,27,94,657,9,30,1,44,18,156,20,228,43,42,20,34,41,657,108,1,155,86,6,10
Fe,Na,149,222,42,52,91,16,46,4,42,222,0,11,0,4,12,60,7,134,4,20,2,42,25,220,18,0,44,18,1,0
Fe,K,78,42,108,27,27,8,23,2,14,108,1,8,1,3,0,30,1,60,1,0,0,12,13,101,22,0,13,3,1,1
Fe,Mg,114,52,27,178,66,10,31,2,28,178,2,5,0,14,13,74,6,93,3,7,1,21,4,178,12,0,25,9,4,1
Fe,Ca,173,91,27,66,245,12,35,8,52,245,0,8,0,9,13,89,4,143,4,31,5,26,23,245,5,0,54,27,5,1
Fe,Ba,37,16,8,10,12,53,25,2,8,53,1,1,0,0,2,7,3,33,2,4,0,10,7,52,2,0,7,3,0,0
Fe,Ti,72,46,23,31,35,25,137,10,28,137,0,0,0,8,5,22,2,68,8,35,11,24,7,133,2,0,4,6,2,0
Fe,V,27,4,2,2,8,2,10,36,5,36,0,3,0,1,0,6,1,4,7,6,5,2,0,35,0,0,1,1,0,0
Fe,Mn,94,42,14,28,52,8,28,5,139,139,1,2,0,14,2,22,0,55,11,21,4,14,9,138,1,0,54,7,4,0
Fe,Fe,657,222,108,178,245,53,137,36,139,1080,40,107,16,64,38,208,30,343,75,73,28,62,56,920,219,9,198,120,33,22
Fe,Ni,9,0,1,2,0,1,0,0,1,40,40,7,1,0,1,1,3,1,3,0,0,0,4,11,17,0,5,2,1,0
Fe,Cu,30,11,8,5,8,1,0,3,2,107,7,107,6,12,0,8,0,5,16,1,0,0,5,44,66,5,5,27,6,11
Fe,Ag,1,0,1,0,0,0,0,0,0,16,1,6,16,3,0,0,0,0,1,0,0,0,0,1,15,1,0,1,4,1
Fe,Zn,44,4,3,14,9,0,8,1,14,64,0,12,3,64,0,13,1,7,8,4,1,2,0,50,20,1,8,19,3,1
Fe,B,18,12,0,13,13,2,5,0,2,38,1,0,0,0,38,19,0,25,0,6,0,9,5,38,2,0,3,2,1,0
Fe,Al,156,60,30,74,89,7,22,6,22,208,1,8,0,13,19,208,2,123,4,18,1,20,4,206,14,0,39,10,2,0
Fe,C,20,7,1,6,4,3,2,1,0,30,3,0,0,1,0,2,30,8,1,1,0,1,1,25,2,0,2,0,0,0
Fe,Si,228,134,60,93,143,33,68,4,55,343,1,5,0,7,25,123,8,343,9,49,0,49,26,334,3,0,8,8,3,1
Fe,Pb,43,4,1,3,4,2,8,7,11,75,3,16,1,8,0,4,1,9,75,6,5,1,5,57,24,0,9,13,7,8
Fe,REE,42,20,0,7,31,4,35,6,21,73,0,1,0,4,6,18,1,49,6,73,13,14,4,73,0,0,4,5,0,0
Fe,U,20,2,0,1,5,0,11,5,4,28,0,0,0,1,0,1,0,0,5,13,28,2,0,28,5,0,6,3,0,0
Fe,F,34,42,12,21,26,10,24,2,14,62,0,0,0,2,9,20,1,49,1,14,2,62,2,62,0,0,10,4,0,0
Fe,Cl,41,25,13,4,23,7,7,0,9,56,4,5,0,0,5,4,1,26,5,4,0,2,56,50,9,0,0,4,0,1
Fe,O,657,220,101,178,245,52,133,35,138,920,11,44,1,50,38,206,25,334,57,73,28,62,50,920,119,1,189,105,19,12
Fe,S,108,18,22,12,5,2,2,0,1,219,17,66,15,20,2,14,2,3,24,0,5,0,9,119,219,1,7,17,15,11
Fe,Se,1,0,0,0,0,0,0,0,0,9,0,5,1,1,0,0,0,0,0,0,0,0,0,1,1,9,0,3,0,0
Fe,P,155,44,13,25,54,7,4,1,54,198,5,5,0,8,3,39,2,8,9,4,6,10,0,189,7,0,198,1,0,3
Fe,As,86,18,3,9,27,3,6,1,7,120,2,27,1,19,2,10,0,8,13,5,3,4,4,105,17,3,1,120,3,5
Fe,Sb,6,1,1,4,5,0,2,0,4,33,1,6,4,3,1,2,0,3,7,0,0,0,0,19,15,0,0,3,33,6
Fe,Bi,10,0,1,1,1,0,0,0,0,22,0,11,1,1,0,0,0,1,8,0,0,0,1,12,11,0,3,5,6,22
Ni,H,63,2,1,5,5,0,0,3,3,9,63,7,0,2,0,8,13,7,1,0,4,0,5,62,16,1,2,11,2,1
Ni,Na,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
Ni,K,1,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
Ni,Mg,5,0,0,5,1,0,0,0,2,2,5,0,0,0,0,1,0,2,0,0,0,0,0,5,1,0,0,0,0,0
Ni,Ca,5,0,0,1,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0
Ni,Ba,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Ni,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,V,3,0,0,0,0,0,0,3,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Ni,Mn,3,0,0,2,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Ni,Fe,9,0,1,2,0,1,0,0,1,40,40,7,1,0,1,1,3,1,3,0,0,0,4,11,17,0,5,2,1,0
Ni,Ni,63,2,2,5,5,1,0,3,3,40,156,18,1,2,1,9,16,9,5,0,4,0,7,71,53,10,12,33,10,8
Ni,Cu,7,0,1,0,0,1,0,0,0,7,18,18,0,0,0,2,1,0,2,0,0,0,3,7,11,1,0,1,3,1
Ni,Ag,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ni,Zn,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ni,B,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ni,Al,8,0,0,1,0,0,0,2,0,1,9,2,0,1,0,9,1,2,0,0,0,0,0,8,3,0,0,0,0,0
Ni,C,13,1,0,0,0,0,0,0,0,3,16,1,0,0,0,1,16,0,0,0,0,0,0,13,1,0,0,0,0,0
Ni,Si,7,0,0,2,0,0,0,0,0,1,9,0,0,0,0,2,0,9,0,0,0,0,0,8,0,0,1,0,0,0
Ni,Pb,1,0,0,0,0,1,0,0,0,3,5,2,0,0,0,0,0,0,5,0,0,0,0,1,4,0,0,1,0,1
Ni,REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,U,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,3,0,0
Ni,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,Cl,5,0,1,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0
Ni,O,62,2,1,5,5,0,0,3,3,11,71,7,0,2,1,8,13,8,1,0,4,0,5,71,16,1,2,15,2,2
Ni,S,16,1,2,1,0,1,0,0,0,17,53,11,1,0,0,3,1,0,4,0,1,0,2,16,53,0,0,5,4,6
Ni,Se,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0
Ni,P,2,0,0,0,1,0,0,0,0,5,12,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,12,0,0,0
Ni,As,11,0,0,0,3,0,0,0,0,2,33,1,0,0,0,0,0,0,1,0,3,0,0,15,5,1,0,33,0,3
Ni,Sb,2,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,10,1
Ni,Bi,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,3,1,8
Cu,H,329,17,19,15,49,2,2,10,5,30,7,329,2,27,4,42,31,29,53,10,17,7,58,328,78,8,36,85,7,7
Cu,Na,17,36,8,4,12,0,1,1,0,11,0,36,0,1,0,3,5,3,1,1,0,0,10,35,9,1,3,14,1,0
Cu,K,19,8,45,1,6,1,0,2,0,8,1,45,2,1,0,4,1,6,3,0,0,0,17,40,19,2,0,8,2,1
Cu,Mg,15,4,1,19,3,0,0,0,0,5,0,19,0,1,0,3,2,1,0,0,0,0,3,19,4,0,1,6,0,0
Cu,Ca,49,12,6,3,57,1,0,1,0,8,0,57,0,5,2,7,6,10,4,2,2,0,11,56,9,0,6,25,2,2
Cu,Ba,2,0,1,0,1,6,0,1,0,1,1,6,0,0,0,1,0,4,1,0,0,0,0,5,1,0,0,0,0,0
Cu,Ti,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0
Cu,V,10,1,2,0,1,1,0,28,0,3,0,28,0,0,0,3,0,0,2,0,1,2,4,23,5,0,2,2,1,1
Cu,Mn,5,0,0,0,0,0,0,0,8,2,0,8,0,0,0,0,0,3,0,1,0,0,2,8,1,0,0,2,0,0
Cu,Fe,30,11,8,5,8,1,0,3,2,107,7,107,6,12,0,8,0,5,16,1,0,0,5,44,66,5,5,27,6,11
Cu,Ni,7,0,1,0,0,1,0,0,0,7,18,18,0,0,0,2,1,0,2,0,0,0,3,7,11,1,0,1,3,1
Cu,Cu,329,36,45,19,57,6,2,28,8,107,18,673,50,46,5,50,34,38,125,12,17,7,88,423,278,50,36,146,45,61
Cu,Ag,2,0,2,0,0,0,0,0,0,6,0,50,50,3,0,0,0,0,20,0,0,0,3,4,39,5,0,10,10,12
Cu,Zn,27,1,1,1,5,0,0,0,0,12,0,46,3,46,0,1,3,1,3,0,0,0,7,29,20,2,2,15,0,1
Cu,B,4,0,0,0,2,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0
Cu,Al,42,3,4,3,7,1,0,3,0,8,2,50,0,1,0,50,1,6,5,0,0,4,6,47,18,0,7,16,3,0
Cu,C,31,5,1,2,6,0,0,0,0,0,1,34,0,3,1,1,34,2,4,4,3,0,3,34,2,0,0,1,0,0
Cu,Si,29,3,6,1,10,4,1,0,3,5,0,38,0,1,0,6,2,38,7,1,1,0,2,38,4,0,0,3,0,0
Cu,Pb,53,1,3,0,4,1,0,2,0,16,2,125,20,3,0,5,4,7,125,2,1,0,20,64,76,12,4,18,21,40
Cu,REE,10,1,0,0,2,0,0,0,1,1,0,12,0,0,0,0,4,1,2,12,1,0,1,12,0,0,2,5,0,0
Cu,U,17,0,0,0,2,0,0,1,0,0,0,17,0,0,0,0,3,1,1,1,17,0,0,17,2,3,3,2,0,0
